title,result
What are two things people never eat before breakfast?,Lunch and supper.
Why did the man throw a bucket of water out the window?,He wanted to see the waterfall.
"Why did the man throw the butter out the
Window?",He wanted to see the butterfly.
Why did the man put the clock in the safe?,He wanted to save time.
"What has two hands and a face, but no arms and legs?",A clock.
"What has a neck, but no head?",A bottle.
Where is the ocean the deepest?,On the bottom.
"What letter of the alphabet is always waiting in order?""","""The Q. (queue)"
Why did the man throw his watch out of the window?, He wanted to see time fly.
What State in the United States is High in the middle and round at the ends?,Ohio.
How do you spell mousetrap?,C-A-T.
How many legs does an ant have?,"Two, the same as an uncle."
"How many people are buried in that
Cemetery?",All of them.
What can't be used until it's broken?,An egg.
What do tigers have that no other animals have?,Baby tigers.
"What is Black and white and read (red)
all over?",A newspaper
Why is number six afraid ?,"Because seven eight nine (seven ate
Nine)"
What did number 1 say to 7?,Nice hair
Which is the most self-centered letter of the alphabet?,"""i"" (I)"
Which letter is always trying to find rea-sons?,"""y"" (Why?"")"
Which letter is not me?,U
What letter can do the work in one day that you can do in two days?,W (Double u- Double you)
Why is the A like a flower?,Because the B is after it.
"Why is the letter ""A"" like noon?",Because it's in the middle of the day.
"""What letter of the alphabet has got lots of water?""","""The C"""
"What has two heads, four eyes, six legs and a tail?",A horse and its rider.
What is as big as a horse but doesn't weigh anything?,The horse's shadow.
"What begins with T, ends with T and has T in it?",A teapot.
What did zero say to eight?,Nice belt.
Do you know why birds fly to south in the Winter?,Because it's too far to walk there.
"Which letters do Tuesday, Thursday, Friday and Saturday have in common?"," None! None of them have ""c"", ""o"",""m"" or or
""n"" in them"
"Which room has no doors, no windows.","
A mushroom.

"
What gets wetter as it dries?,"A towel
"
A man rode into town on Tuesday. Two days later he rode home on Tuesday. How is this possible?,His horse's name is Tuesday.
Why didn't the skeleton go to the dance?,"He didn't have anybody to take. (any
BODY)"
"A father and his son were in a car acci-
dent. The father died. The son was taken
to the hospital. The doctor came in and
said: I can't do surgery on him, because
he's my son. Who was the doctor?",The doctor was his mother.
"Why did the student take a ladder to
School?","Because he/she was going to high
School!"
"What are the two strongest days of the
Week?","They are Saturday and Sunday. All the
others are weak (week) days."
"What do you call a bear without an ""ear""?",BBBBBBB
"Which is faster, heat or cold?","Heat, because you can catch a cold."
"How many apples can you eat if your
stomach is empty? B: 4 or 5","No, that's wrong, because after eating
one apple your stomach isn't empty."
"Why did Mickey Mouse go to outer
Space?",To find Pluto.
"What do you call a Spaniard who can't
find his car?","Carlos (It's pronounced ""carless"")"
"What's the difference between electricity
and lightening?",You don't have to pay for lightening.
"What part of your body disappears when
you stand up?","Your lap. (good for phrasal 'stand up',
and 'laptop', lap-dog, etc.)"
What do you call a witch at the beach?,A sandwich.
"What's the difference between a lion with
toothache and a wet day?","One's roaring with pain the other's pour-
ing with rain"
Why are baseball stadiums so cool?,There is a fan in every seat.
What do you call a fish without an eye?,"Fsh. (Hint: No ""eye"" = No ""i"")"
"What has thirteen hearts but no body
and no soul?",A pack of playing cards.
"What do you call a fish that only cares
about himself?",Selfish.
Why couldn't Mozart find his teacher?,"Because the teacher was Hayden.
(Hayden, Hidin', Hiding)"
What's a minimum?,A very small mother! (mini-mom)
Why can't a bicycle stand on its own?,Because it's two-tired (too tired)
"What's got a head and a tail, but no
Body?",A coin.
What's got a wave but no sea?,My hair.
"Where does a boxer who weighs 135
kilograms sit on a bus?",Wherever he wants to.
"What makes ""oom"" and gives milk?",A cow walking backwards.
"Where does Dracula stay when he goes
to New York City?",The Vampire State building.
What do cows like to read?,The mooooospaper
What is the longest word?,"Smiles, because there is a mile between
the first and last s."
"What is the word that everybody always
says wrong?","""Wrong""."
"What five-letter word becomes shorter
when you add two letters to it?",Short
"What's the longest word in the diction-
Ary?",Rubber-band - because it stretches.
"How many seconds are there in one
Year?","Twelve. January second, February sec-
ond, March second..."
"What two days of the week start with the
letter ""T""?","Tuesday and Thursday? NO, today and
Tomorrow!"
Why did the pony have a sore throat?,Because it was a little horse. (hoarse)
What did the undertaker die of?,Coughin' (coffin)
Why can't a nose be twelve inches?,Because then it would be a foot.
How do porcupines kiss each other?,Very carefully.
What has four wheels and flies?,A garbage truck.
What has teeth but can't bite?,A Comb.
Why did the chicken cross the road?,To get to the other side.
"Why do people call their own language
their mother tongue?","Because their fathers seldom get a
chance to use it"
"Why is it impossible to starve in the
Desert?","Because of all the sandwiches (sand
which is) there."
"Do you know where people send a horse
when it is sick?",To a horsepital.
"What did the doctor say when the invisi-
ble man called to make an appointment?",Tell him I can't see him today.
Which 'BUS' could cross the ocean?,Columbus!
What a bee says when it gets in the hive?,Hi Honey! I'm home!
How do you catch a squirrel?,Climb a tree and act like a nut !
What do you call a deer with no eyes?,No idea. (No eye deer)
Where do cows go for entertainment?,They go to the mooovies!
"What animal is it that has four legs a tail
and flies?",A dead horse!
What do you call 'a fly' without wings?,You call it 'a walk.'
"What goes ""ZUB, ZUB""?","A bee flying backwards.(Buz,Buz)"
"What did one light bulb say to another
light bulb?",You are the light of my life.
What flowers have two lips?,Tulips
"They travel all over the world but end up
in the corner, what are they?",Stamps
"Why didn't the farmer cry when his dairy
cow fell off the cliff?",There's no use crying over split milk.
"What is the difference between a jeweler
and a jailor?","A jeweler sells watches. A jailer watches
Cells."
Why do cows have bells?,Because their horns don't work.
Why were the little drops of ink crying?,"Their mother was in the pen and they did
not know how long her sentence would
be."
"How many sheep does it take to make
one wool sweater?",I didn't even know sheep could knit!
What's a teacher's favorite nation?,Expla-nation.
What's the most colorful state of U.S.A.?,Color-ado.
"In what state does it cost the most to
live in?",Expennsylvania.
"What did the cannibal who was late for
dinner get?",The cold shoulder.
What do you call a dog with no legs?,"Why bother, he won't come anyway."
How do you top a car?,"Tep on the brake, tupid!"
"Is there a word in the English language
that uses all the vowels including ""y"" ?",Unquestionablely!
Why do birds fly south for the winter?,
What is the tallest building in our town?,
"What did the fish say when he hit the
Wall?",
"The teacher speaking to a student said,
""Saud, name two pronouns.""",
"Teacher: Today, we're going to talk
about the tenses. Now, if I say ""I am
beautiful,"" which tense is it?",
What is orange and sounds like parrot?,
"Can a kangaroo jump higher than the
Empire State Building?",
What do you call a deer with no eyes?,
"ESL teacher: You must never begin a
sentence ""I is ..."".",
How should you dress on a cold day?,
"Why do witches fly about on broom-
Sticks?",
Who tells chicken jokes?,
"What's white when it's dirty, and black
when it's clean?",
"What's the capital of ""England""?",
"What do we tell the donkey worn its
pajamas (pyjamas-Brt)?",
"What's ""bacteria""?",
What's the biggest part in a car?,
What day do fish hate?,
Why are roosters the neatest birds?,
"Which three letters of the alphabet do
all the work?",
What illness do you get in China?,
"What do you get if you cross a baby
with a U.F.O.?",
"When is it bad luck to have a black cat
following you?",
Why did the egg go into the jungle ?,
"Teacher -First came the Ice Age, then -
the Stone Age. What came next?",
"What's the easiest way to double your
Money?",
"Which driver never commits a traffic
Offence?",
When does it rain money?,
What gets dirty by washing?,
"What would be worse than finding a
maggot in an apple you 're eating ?",
"What is the best day for cooking bacon
and eggs?",
What do Martians eat for breakfast?,
"What is round and red and goes up and
Down?",
What is a sick crocodile called?,
What can make a cow fly?,
"'Did you hear about the man who
invented a device for looking through
walls?'
'No, what does he call it?'",
"What was awarded to the inventor of
door knockers?",
"Teacher - How many seconds are there
in a year?!",
What kind of running means walking?,
"What nail should you never hit with a,
Hammer?",
Who wrote Great Eggspectations?,
"What is it that occurs once in a second,
once in a month, once in a century, yet
not at all in an hour, or a week or a
Year?",
"Five automobiles were lined up bumper
to bumper. How many bumpers were
actually touching each other?",
"How many parts of the human body can
you name that have only three letters?",
"How far do you have to count before
using the letter A in spelling a number?",
"Name as many articles as you can think
of that start with the letter S that are
worn on the feet.",
"What continent do you see when you
look in the mirror in the morning?",
"What is found in the very center of both
America and Australia?",
What relatives are dependent on you?,
Why is the letter T like an island?,
What part of London is in France?,
"Nine crows sat on a limb of a tree.
Farmer Jones shot three of them. How
many crows remained?",
Which is the loudest vowel?,
"What is it that no man ever yet did see,
which never was, but always will be?",
"How many birthdays does the average
person have?",
What is a beautiful cat?,
What is an unusual seat?,
What is a comical rabbit?,
What is an angry boy?,
What is an irritated employer?,
What is a bashful insect?,
What is a large hog?,
What is an uncontrollable boy or girl?,
What is a joyful father?,
What is a noisy group of people?,
"The more you take, the more you leave
behind. What are they?",
"What can you cut with a knife and
never see a mark?",
"What asks no questions but receives a
lot of answers?",
"What grows bigger the more you take
from it?",
"I saw a nutcracker up in a tree. What
was it?",
What goes up but never comes down?,
"If you feed it, it will live. If you give it
water, it will die. What is it?",
"What time is it when an elephant sits on
a fence?",
"Something that shines in the sky at
night
Changes to rodents that gnaw and bite.",
"A fruit that's green and often sour
Becomes a distance you walk in an
Hour.",
"Something that frogs do very well
Can be the sound of a ringing bell.",
"An animal that eats a paper or can
Becomes the cloak of a Roman man.",
"What helps you keep your teeth togeth-
Er?",
How do you make a lemon drop?,
What is all over the house?,
What is a UFB?,
"Why did the teenager put his clock in
the oven?",
"When can a man be six feet tall and be
short at the same time?",
"What happens to a refrigerator when
you pull its plug?",
"Why did the teenager put sugar under
her pillow?",
"What is the first thing that a gardener
puts in the garden?",
What is the perfect cure for dandruff?,
"What do you call a person who doesn't
have all his fingers on one hand?",
"What's the best thing to take when
you're run over by a car?",
"How many months have twenty-eight
Days?",
Name five things that contain milk.,
"By inserting the same letter 16 times in
appropriate places, this jumble of let-
ters will be transformed into a sentence
of some sense: VRY VNING RNST ARND
IGHTN CNTS XCDINGLY ASILY.",
"A man was locked in a room with only a
bed, a calendar, and a piano. How did
he drink, how did he eat, and how did
he get out? Another man was locked in
a room with only a mirror and a table.
How did he get out? A third man was
locked in an empty room. How did he
Escape?",
"A man goes into a bar and asks for a
glass of water. The barman pulls out a
gun, and points it at the customer.
""Thank you"" replies the customer and
walks out. What happened?",
"How can you throw a tennis ball with all
your strength and, without it hitting a
wall or other obstruction, have it stop
and come right back to you?",
"How close a relative would the sister-
in-law of your father's only brother be?",
"It takes 4 1/2 hours for a jet plane to
fly between the east and west coasts of
the United States. One plane leaves Los
Angeles for New York at 4:40 o'clock,
while another plane leaves New York for
Los Angeles at 6 o'clock. Which plane
will be closer to New York when they
pass each other?",
"A rope ladder is hanging over the side
of a ship. The ladder is twelve feet long,
and the rungs on the ladder are one
foot apart. The lowest rung is resting on
the top of the ocean. The tide rises four
inches an hour. How long would it take
before the first four rungs of the ladder
are under water?",
"There are ten black stockings and ten
white stockings in a drawer. If you
reach into the drawer in the dark, what
is the least number of stockings you
must take out before you are sure you
have a pair that matches?",
"How many bricks does it take to finish
a house?",
