title,result,
இவன் வாலுக்கு வையகமே நடுங்கும் அவன் யார்?,தேள்,
பிடுங்கலாம் நடமுடியாது அது என்ன,தலைமுடி,
உடம்பில்லா ஒருவன் பத்து சட்டை அணீந்திருப்பான்? அவன் யார்,வெங்காயம்,
கசக்கிப் பிழிந்தாலும் கடைசிவரை இனிப்பான். அவன் யார்?,கரும்பு,
மரத்தின் மேலே தொங்குவது மலைப் பாம்பல்ல அது என்ன?,விழுது,
"இடி இடிக்கும், மின்னல் மின்னும், மழை பெய்யாது- அது என்ன?",பட்டாசு,
"ஆலமரம் தூங்க அவனியெல்லாம் தூங்க, சீரங்கம் தூங்க திருப்பாற்கடல் தூங்க, ஒருவன் மட்டும் தூங்கவில்லை அவன் யார்?",மூச்சு,
கொதிக்கும் கிணற்றில் குதித்துக் குண்டாகி வருவான். அவன் யார்?,பூரி,
"கருப்பு நிறமுடையவன், கபடம் அதிகம் கொண்டவன், கூவி அழைத்தால் வந்திடுவான், கூட்டம் சேர்த்தும் வந்திடுவான் – அவன் யார்?",காகம்,
பச்சை பொட்டிக்குள் வெள்ளை முத்துகள் ?,வெண்டைக்காய்,
"இவனும் ஒரு பேப்பர் தான்; ஆனால், மதிப்போடு இருப்பான். அது என்ன?",பணம்,
"டாக்டர் வந்தாரு, ஊசி போட்டாரு, காசு வாங்காமல் போனாரு",கொசு,
கன்று நிற்க கயிறு மேயுது அது என்ன?,பூசனிக்கொடி,
எப்போதும் மழையில் நனைவான் ஆனால் ஜுரம் வராது. எப்போதும் வெயிலில் காய்வான் ஆனால் ஏதும் ஆகாது. அவன் யார்?,பூசனிக்கொடி,
"தொடாமல் அழுவான், தொட்டால் பேசுவான். அவன் யார்?",தொலைபேசி,
பெட்டியைத் திறந்தால் பூட்ட முடியாது. அது என்ன?,தேங்காய்,
தன் மேனி முழுவதும் கண்ணுடையாள் தன்னிடம் சிக்கியபேரைச் சீரழிப்பாள் அவள் யார்?,மீன் வலை,
"படபடக்கும்,பளபளக்கும் மனதுக்குள் இடம் பிடிக்கும் அது என்ன?",பட்டாசு,
"உயிரில்லாதவனுக்கு உடம்பெல்லாம் நரம்பு, அது என்ன?",பாய்,
மாமா போட்ட பந்தல் மறுபடி பிரிச்சா கந்தல் அது என்ன?,சிலந்தி வலை,
கீழேயும் மேலேயும் மண், நடுவிலே அழகான பெண். அது என்ன?,மஞ்சல்செடி
சொன்ன நேரத்துக்கு தொண்டை கிழிய கத்துவான். அவன் யார் ?,அலாரம்,
உயிர் இல்லாத நீதிபதியிடம் ஒழுங்கான நியாயம்- அது என்ன?,தராசு,
பூவோடு பிறந்து, நாவோடு கலந்து விருந்தாவான் மருந்தாவான். அவன் யார்?,தேன்
நூல் நூற்கும் நெசவாளிக்கு கட்டிக்கொள்ள துணியில்லை அது என்ன?,சிலந்தி வலை,
"உடம்பெல்லாம் சிவப்பு, அதன் குடுமி பச்சை அது என்ன?",தக்காளி,
ஒட்டுத் திண்ணையில் பட்டுப் பாவாடை அது என்ன?,தோடு,
தலைக்குள் கண் வைத்திருப்பவன் இவன் மட்டும்தான் அவன் யார்?,நுங்கு,
"செய்தி வரும் பின்னே, மணியோசை வரும் முன்னே. அது என்ன?",தொலைபேசி,
"வாயிலிருந்து நூல் போடுவான்; மந்திரவாதியும் இல்லை, கிளைக்குக் கிளை தாவுவான்; குரங்கும் இல்லை, வலைவிரித்துப் பதுங்கியிருப்பான்; வேடனும் இல்லை – அவன் யார்?",சிலந்தி வலை,
கண்ணால் பார்க்கலாம் கையால் பிடிக்கமுடியாது அது என்ன?,நிழல்,
"நான்கு கால்கள் உள்ளவன், இரண்டு கைகள் உள்ளவன், உட்கார்ந்து கொண்டிருப்பான், உட்கார இடம் கொடுப்பான் அவன் யார்?",நாற்காலி,
சட்டையைக் கழற்றினால் சத்துணவு அது என்ன?,வாய்,
"முட்டையிடும், குஞ்சு பொரிக்காது. கூட்டில் குடியிருக்கும், கூடு கட்டத் தெரியாது. குரலில் இனிமையுண்டு, சங்கீதம் தெரியாது! – அது என்ன?",குயில்,
"அழகான பெண்ணுக்கு அதிசயமான வியாதி, பாதிநாள் குறைவாள், பாதிநாள் வளர்வாள் அது என்ன?",நிலா,
பார்க்க அழகு பாம்புக்கு எதிரி அது என்ன?,மயில்,
"அக்கா விதைத்த முத்து, அள்ள முடியாத முத்து, அது என்ன?",கோலம்,
ஆயிரம் பேர் அணி வகுத்தாலும் ஆரவாரம் இராது- அவர்கள் யார்?,எறும்புக்,
நடந்தவன் நின்றான் கத்தியை எடுத்து தலையைச் சீவினேன் மறுபடியும் நடந்தான் அவன் யார்?,பென்சில்,
"எத்தனை தரம் சுற்றினாலும் தலை சுற்றாது, அது என்ன?",மின் விசிறி,
வெள்ளை ராஜாவுக்கு கறுப்பு உடை அது என்ன?,உழுந்து,
முத்துக் கோட்டையிலே மகாராணி சிறைபட்டிருக்கிறாள். அவள் யார்?,நாக்கு,
வீட்டைப் பிரிச்சா ஓட்டுவீடு! ஓட்டு வீட்டுக்குள்ள வெள்ளை மாளிகை!வெள்ளை மாளிகைக்கு நடுவில் குளம்!அது என்ன ?,தேங்காய்,
பேச்சுக் கேட்குது பேசுபவர் தெரியவில்லை. அது என்ன?,வானொலி பெட்டி,
கந்தல் துணிக்காரி முத்துப் பிள்ளைகள் பெற்றாள் அவள் யார்?,பாம்பு,
"உடல் சிவப்பு, வாய் அகலம், உணவு காகிதம்- நான் யார்?",அஞ்சல் பெட்டி,
இது ஒரு பூ. முதற்பகுதி ஆதவனின் மறுபெயர்; பிற்பகுதி தேசத் தந்தையை குறிக்கும். அது என்ன?,சூரிய காந்தி,
பச்சை நிற அழகிக்கு உதட்டுச் சாயம் பூசாமலே சிவந்தவாய் அவள் யார்?,கிளி,
"இரவு வீட்டிற்கு வருவான், இரவு முழுவதும் இருப்பான் காலையில் சொல்லாமல் கொள்ளாமல் போய்விட்டிருப்பான்?",நிலா,
"ஓடையில் ஓடாத நீர், ஒருவரும் குடிக்காத நீர். அது என்ன?",கண்ணீர்,
அம்மா படுத்திருக்க மகள் ஓடித்திரிவாள் அது என்ன?,அம்மி குளவி,
ஒரு வீட்டுக்கு இரண்டு வாசல்படி. அது என்ன?,மூக்கு,
ஊரெல்லாமல் ஒரே விளக்கு. அதற்கு ஒரு நாள் ஒய்வு அது ?,சந்திரன்,
"உடம்பெல்லாம் தங்கநிறம், தலையில் பச்சை கிரீடம் அது என்ன?",அன்னாசிப் பழம்,
குண்டுச் சட்டியில் கெண்டை மீன்.அது என்ன?,நாக்கு,
கண்ணீர் விட்டு வெளிச்சம் தருவாள் அவள் யார்?,மெழுகுத்திரிவத்தி,
நன்றிக்கு வால் கோபத்துக்கு வாய் அது என்ன?,நாய்,
பூ கொட்ட கொட்ட ஒன்றையும் தனியே பொறுக்க முடியவில்லை?,மழை,
"நீண்ட உடம்புக்காரன், நெடுந்தூரப் பயணக்காரன்?",ரயில்,
எடுக்க எடுக்க வளரும். எண்ணெயைக் கண்டால் படிந்துவிடும். அது என்ன?,முடி,
அரிவாளால் வெட்டி வெட்டி அடுப்பிலே வெச்சாலும் மூச்சே விட மாட்டான். அவன் யார்?,விறகு,
தண்ணியில்லாத காட்டிலே அலைந்து தவிக்கும் அழகி. அவள் யார்?,ஒட்டகம்,
"ஆகாரமாக எதையும் தந்தால் சாப்பிடுவேன், ஆனால் நீரை குடிக்க தந்தால் இறந்து விடுவேன், நான் யார்?",நெருப்பு,
ஒன்று போனால் மற்றொன்றும் வாழாது?,செருப்பு,
"ஊரெல்லாம் சுத்துவான், ஆனால் வீட்டிற்குள் வரமாட்டான்.",செருப்பு,
கருப்பர்கள் மாநாடு போட்ட இடத்தில் கண்ணீர் பிரவாகம். அது என்ன?,"மேகம், மழை.",
கூட்டுக்குள் குடியிருக்கும் குருவி அல்ல; கொலை செய்யும்; பாயும்; அது வீரனுமல்ல. அது என்ன?,அம்பு,
"நீண்ட உடலிருக்கும் தூணும் அல்ல ,உடலில் சட்டை இருக்கும் ஆனால் உயிர் இல்லை,துயிலில் சுகம் இருக்கும் மெத்தை அல்ல அது என்ன?",தலையணை,
எட்டுக்கால் ஊன்றி இருகால் படமெடுக்க வட்டக் குடைபிடித்து வாறாராம் வன்னியப்பு அது என்ன?,நண்டு,
"நான் இருந்ததில்லைஆனாலும் இருப்பவனாக இருப்பேன். என்னை யாரும் பார்த்ததில்லை பார்க்கும் முன் பழசாயிருப்பேன். என்னை நம்பியே இந்த உலகமும் ,மக்களும் நல்லது நடக்குமென எண்ணுகிறார்கள் நான் யார்?",நாளை,
கிட்ட இருக்கும் பட்டணம்; எட்டித்தான் பார்க்க முடியவிலை. அது என்ன?,முதுகு,
கோவிலைச் சுற்றிக் கருப்பு; கோவிலுக்குள்ளே வெளுப்பு. அது என்ன?,சோற்றுப்பானை-சோறு,
வெள்ளை ஆளுக்கு கறுப்புத் தலைப்பாகை. அது என்ன?,தீக்குச்சி,
அரைசாண் ராணிக்கு வயிற்றில் ஆயிரம் முத்துகள். அது என்ன?,வெண்டைக்காய்,
"அழுவேன்,சிரிப்பேன் அனைத்தும் செய்வேன் நான் யார்?",முகம் பார்க்கும் கண்ணாடி,
முதுகிலே சுமை தூக்கி முனகாமல் அசைந்து வரும் அது என்ன?,நத்தை,
"அம்மா போடும் வட்டம், பளபளக்கும் வட்டம், சுவையைக் கூட்டும் வட்டம். சுட்டுத் தின்ன இஸ்டம். அது என்ன?",அப்பளம்,
தொப்பொன்று விழுந்தான் தொப்பி கழன்றான் அவன் யார்?,பனம்பழம்,
முயல் புகாத காடு எது?,முக்காடு,
உயரத்தில் இருப்பிடம்.தாகம் தீர்ப்பதில் தனியிடம் அது என்ன?,இளநீர்,
தலையைச் சீவினால் தாளில் நடப்பான் அவன் யார்?,பென்சில்,
"கண்டு பிடித்தவனும் வைத்திருக்கவில்லை, வாங்கியவனும் உபயோகிக்கவில்லை, உபயோகிப்பவனுக்கு அதனை பற்றி எதுவும் தெரியாது அது என்ன?",சவப்பெட்டி,
"மழை காலத்தில் குடை பிடிப்பான், மனிதனல்ல. அவன் யார்?",காளான்,
"ஒரு குற்றத்தை செய்ய முயற்சித்தால் தண்டனை உண்டு, ஆனால் குற்றத்தை செய்தால் தண்டிக்க முடியாது, அக் குற்றம் என்ன?",தற்கொலை,
"எப்போதும் காதருகில் ரகசியம் பேசிக் கொண்டிருப்பவள், அவள் யார்?",செல்போன்,
"ஓவென்று உயர்ந்த மலை, நடுவே உடன் பிறப்பு இருவர் ! ஒருவரை மற்றவர் பார்ப்பதுமில்லை; பேசுவதும் இல்லை. அவர்கள் யார்?","கண், மூக்கு.",
மீன் பிடிக்கத் தெரியாதாம் ஆனால் வலை பின்னுவானாம் அவன் யார்?,சிலந்தி,
தொட்டுப் பார்க்கலாம் எட்டிப் பார்க்கமுடியாது அது என்ன?,முதுகு,
"வீட்டிலிருப்பான் காவலாலி, வெளியில் சுற்றுவான் அவன் கூட்டாளி, அவர்கள் யார்?",பூட்டும் திறப்பும்,
கொம்பு நிறைய கம்பு அது என்ன ?,மாதுளம்பழம்,
காட்டிலே பச்சை; கடையிலே கறுப்பு; வீட்டிலே சிவப்பு. அது என்ன?,மரம்-கரி-நெருப்பு.,
என்னைத் தெரியாத போது தெரிந்து கொள்ளும் ஆவல்.தெரிந்த பிறகு பகிர்ந்து கொள்ளும் ஆசை. நான் மறைக்கப்பட வேண்டியவன். நான் யார்?,இரகசியம்,
"நடக்கவும் மாட்டேன், நகராமல் இருக்கவும் மாட்டேன் நான் யார்?",மணிக்கூடு,
மழையோடு வருகின்ற மஞ்சள் புறாவை வெட்டினால் ஒரு சொட்டு இரத்தம் வராது. அது என்ன?,ஈசல்,
நடந்தவன் நின்றான். கத்தியை எடுத்து தலையைச் சீவினேன். மறுபடி நடந்தான். அவன் யார்?,பென்சில்,
விரல் இல்லாமலே ஒரு கை. அது என்ன?,தும்பிக்கை,
"வெள்ளத்தில் போகாது, வெந்தணலில் வேகாது. கொள்ளையடிக்க முடியாது, கொடுத்தாலும் குறையாது. அது என்ன?",கல்வி,
அம்மா பின்னிய நூலை அவிழ்த்தால் போச்சு. அது என்ன?,இடியாப்பம்,
தண்ணீரில் மிதக்குது கட்டழகிய வீடுகள் -அது என்ன?,கப்பல்கள்,
"தொட்டால் மணக்கும், சுவைத்தால் புளிக்கும். அது என்ன?",எழுமிச்சம்பழம்,
